"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04659","Th17 cell differentiation",46,0.573704561775939,2.42332024264911,1.91697086996311e-07,2.74765824694712e-06,1.67194451816331e-06,1197,"tags=54%, list=20%, signal=44%","916/3561/919/7535/3560/3718/7048/920/2353/6776/4792/6777/4773/6300/7040/5600/5335/3716/6772/3460/6774/7297/3725/27040/6095"
"hsa04668","TNF signaling pathway",53,0.562018655482058,2.47675363930613,2.11789925969563e-07,2.89767125985629e-06,1.76322713486621e-06,790,"tags=42%, list=13%, signal=36%","6352/5293/7133/7128/7185/3383/1906/197259/2353/1051/1435/9021/4792/3659/6376/8837/6300/4323/182/7132/3726/5600"
"hsa05323","Rheumatoid arthritis",27,0.684572258734005,2.57783072661377,2.55800207089618e-07,3.31969479977297e-06,2.02002761028326e-06,776,"tags=56%, list=13%, signal=49%","4050/6352/3383/3689/6387/3683/2353/54/10673/1435/8741/7097/526/7040/1513"
"hsa05200","Pathways in cancer",227,0.354897966757748,2.00778082879728,2.64693273071599e-07,3.31969479977297e-06,2.02002761028326e-06,1053,"tags=34%, list=17%, signal=29%","3575/3561/7852/10235/5293/1438/3560/3718/4313/5579/7185/7048/1436/5880/6387/1906/5734/5330/1439/2950/2113/6688/113/7704/2353/6776/2323/4616/2308/4792/3162/6932/1050/54331/3601/59345/6777/5292/51176/9138/3912/109/3910/1647/7040/182/6773/894/11040/3913/25780/2034/2324/3915/637/83439/5335/5159/5468/5336/2791/5371/4791/5154/896/3716/1284/6772/3455/5900/3460/6774/196883/4854/4853/3563/6789/11186"
"hsa04145","Phagosome",54,0.550563318716005,2.43429009459751,4.0352643039214e-07,4.85845822192137e-06,2.95636205845189e-06,1168,"tags=52%, list=19%, signal=42%","11151/929/715/718/3689/1535/1520/4689/1536/6891/4688/3684/7097/6890/64581/3678/7058/526/3693/948/2214/4481/2212/60/9902/8417/7057/84617"
"hsa04630","JAK-STAT signaling pathway",58,0.539580367808286,2.45164059848669,4.60922692406566e-07,5.33606655439909e-06,3.24698576837014e-06,1022,"tags=50%, list=17%, signal=42%","3575/3561/3587/8651/5293/1438/3560/3718/1439/6776/9021/3601/9180/6777/5292/5777/6773/894/5159/5154/896/3716/6772/3455/3590/3460/6774/7297/3563"
"hsa04933","AGE-RAGE signaling pathway in diabetic complications",56,0.544939205289039,2.43858157346946,6.17021101270009e-07,6.87864264749158e-06,4.18564021914158e-06,1218,"tags=55%, list=20%, signal=45%","5293/4313/5579/3383/7048/1906/5330/1536/6776/2308/1281/1958/1277/1278/5054/7056/6777/5292/6300/7040/5600/5335/5336/1284/6772/6774/2152/3725/1282/2335/7043"
"hsa05142","Chagas disease",48,0.568260357664546,2.43352071588508,6.66713357609449e-07,7.16716859430157e-06,4.36120767759564e-06,959,"tags=44%, list=16%, signal=37%","916/919/6352/5293/718/712/7048/714/713/5330/2353/4792/7097/5054/8837/6300/7040/7132/5600/4615/3460"
"hsa05202","Transcriptional misregulation in cancer",74,0.488284245924329,2.34902293660704,8.43006193483398e-07,8.74982290477596e-06,5.32424964305304e-06,899,"tags=41%, list=15%, signal=35%","64919/929/3560/7185/7048/1436/4094/6688/7704/2313/1051/4616/2308/860/3684/26471/3398/3486/1050/4066/604/4005/1647/55589/894/5468/5371/472/5154/958"
"hsa05150","Staphylococcus aureus infection",24,0.693862541866965,2.53484785532613,9.02119274157715e-07,8.77810359278733e-06,5.34145838483999e-06,797,"tags=79%, list=13%, signal=69%","715/718/712/3383/3689/714/713/716/3683/1675/6404/5724/3684/719/717/2359/629/2214/2212"
"hsa04662","B cell receptor signaling pathway",44,0.581673232558075,2.42875828318116,9.33220315512275e-07,8.77810359278733e-06,5.34145838483999e-06,827,"tags=43%, list=14%, signal=38%","84433/5293/5579/5880/3635/7409/10288/2353/10859/4792/11006/118788/10990/4773/4067/5777/971/25780/5336"
